Genus	Specie	Subgenus	Author	Year
Aedes	fascipalpis	Diceromyia	Edwards	1912
Aedes	flavicollis	Diceromyia	Edwards	1928
Aedes	furcifer	Diceromyia	Edwards	1913
Aedes	mefouensis	Diceromyia	Ferrara	1974
Aedes	taylori	Diceromyia	Edwards	1936
Aedes	alboannulatus	Dobrotworskyius	Macquart	1850
Aedes	milsoni	Dobrotworskyius	Taylor	1915
Aedes	occidentalis	Dobrotworskyius	Skuse	1889
Aedes	rubrithorax	Dobrotworskyius	Macquart	1850
Aedes	rupestris	Dobrotworskyius	Dobrotworsky	1959
Aedes	subbasalis	Dobrotworskyius	Dobrotworsky	1962
Aedes	tubbutiensis	Dobrotworskyius	Dobrotworsky	1959
Aedes	albolateralis	Downsiomyia	Theobald	1908
Aedes	alboniveus	Downsiomyia	Barraud	1934
Aedes	axitiosus	Downsiomyia	Kulasekera , Knight & Harbach	1990
Aedes	dorseyi	Downsiomyia	Knight	1946
Aedes	ganapathi	Downsiomyia	Colless	1958
Aedes	harinasutai	Downsiomyia	Knight	1978
Aedes	idjenensis	Downsiomyia	Brug	1934
Aedes	inermis	Downsiomyia	Colless	1958
Aedes	lacteus	Downsiomyia	Knight	1946
Aedes	laoagensis	Downsiomyia	Knight	1946
Aedes	leonis	Downsiomyia	Colless	1958
Aedes	litoreus	Downsiomyia	Colless	1958
Aedes	mikrokopion	Downsiomyia	Knight & Harrison	1988
Aedes	mjobergi	Downsiomyia	Edwards	1926
Aedes	mohani	Downsiomyia	Knight	1969
Aedes	nipponicus	Downsiomyia	La Casse & Yamaguti	1948
Aedes	nippononiveus	Downsiomyia	Sasa & Nakahashi	1952
Aedes	nishikawai	Downsiomyia	Tanaka , Mizusawa & Saugstad	1979
Aedes	niveus	Downsiomyia	Ludlow	1903
Aedes	niveoides	Downsiomyia	Barraud	1934
Aedes	novoniveus	Downsiomyia	Barraud	1934
Aedes	omorii	Downsiomyia	Lien	1968
Aedes	pexus	Downsiomyia	Colless	1958
Aedes	pseudoniveus	Downsiomyia	Theobald	1905
Aedes	saperoi	Downsiomyia	Knight	1946
Aedes	shehzadae	Downsiomyia	Qutubuddin	1972
Aedes	sinensis	Downsiomyia	Chow	1950
Aedes	subniveus	Downsiomyia	Edwards	1922
Aedes	vanus	Downsiomyia	Colless	1958
Aedes	watteni	Downsiomyia	Lien	1968
Aedes	bekkui	Edwardsaedes	Mogi	1977
Aedes	imprimens	Edwardsaedes	Walker	1861
Aedes	pingpaensis	Edwardsaedes	Chang	1965
Aedes	apicoannulatus	Elpeytonius	Edwards	1912
Aedes	simulans	Elpeytonius	Newstead & Carter	1911
Aedes	alocasicola	Finlaya	Marks	1947
Aedes	alticola	subgenus uncertain	Bonne Wepster	1948
Aedes	ananae	Finlaya	Knight & Laffoon	1946
Aedes	auronitens	subgenus uncertain	Edwards	1922
Aedes	australiensis	subgenus uncertain	Theobald	1910
Aedes	avistylus	Finlaya	Brug	1939
Aedes	biocellatus	subgenus uncertain	Taylor	1914
Aedes	bougainvillensis	Finlaya	Marks	1947
Aedes	britteni	subgenus uncertain	Marks & Hodgkin	1958
Aedes	burnetti	Finlaya	Belkin	1962
Aedes	candidoscutellum	subgenus uncertain	Marks	1947
Aedes	croceus	Finlaya	Knight & Laffoon	1946
Aedes	crossi	subgenus uncertain	Lien	1967
Aedes	eatoni	subgenus uncertain	Edwards	1916
Aedes	fijiensis	Finlaya	Marks	1947
Aedes	flavipennis	Finlaya	Giles	1904
Aedes	franclemonti	Finlaya	Belkin	1962
Aedes	freycinetiae	Finlaya	Laird	1957
Aedes	fuscipalpis	Finlaya	Belkin	1962
Aedes	fuscitarsis	Finlaya	Belkin	1962
Aedes	gahnicola	Finlaya	Marks	1947
Aedes	gani	Finlaya	Bonne Wepster	1940
Aedes	gracilelineatus	subgenus uncertain	Bonne Wepster	1937
Aedes	gressitti	Finlaya	Bohart	1957
Aedes	hollingsheadi	Finlaya	Belkin	1962
Aedes	horotoi	Finlaya	Taylor	1972
Aedes	hui	Finlaya	Bohart	1957
Aedes	josephinae	Finlaya	Marks	1958
Aedes	keefei	subgenus uncertain	King & Hoogstraal	1946
Aedes	knighti	Finlaya	Stone & Bohart	1944
Aedes	kochi	Finlaya	Dönitz	1901
Aedes	koreicoides	subgenus uncertain	Sasa , Kano & Hayashi	1950
Aedes	lauriei	subgenus uncertain .	Carter	1920
Aedes	lewelleni	Finlaya	Starkey & Webb	1946
Aedes	luteus	Finlaya	Ludlow	1905
Aedes	maffii	Finlaya	Taylor & Tenorio	1974
Aedes	mallochi	subgenus uncertain	Taylor	1944
Aedes	medleri	Finlaya	Knight & Laffoon	1946
Aedes	monocellatus	subgenus uncertain	Marks	1948
Aedes	neogeorgianus	Finlaya	Belkin	1962
Aedes	oceanicus	Finlaya	Belkin	1962
Aedes	oreophilus	subgenus uncertain	Edwards	1916
Aedes	peipingensis	subgenus uncertain	Feng	1938
Aedes	plagosus	subgenus uncertain	Marks	1959
Aedes	poicilius	Finlaya	Theobald	1903
Aedes	quasirubithorax	subgenus uncertain	Theobald	1910
Aedes	roai	subgenus uncertain	Belkin	1962
Aedes	rubiginosus	subgenus uncertain	Belkin	1962
Aedes	samoanus	Finlaya	Grünberg	1913
Aedes	schlosseri	Finlaya	Belkin	1962
Aedes	sintoni	subgenus uncertain	Barraud	1924
Aedes	solomonis	Finlaya	Stone & Bohart	1944
Aedes	sorsogonensis	Finlaya	Bañez & Jueco	1966
Aedes	stanleyi	subgenus uncertain	Peters	1963
Aedes	stonei	Finlaya	Knight & Laffoon	1946
Aedes	subauridorsum	subgenus uncertain	Marks	1948
Aedes	suffusus	subgenus uncertain	Edwards	1922
Aedes	toxopeusi	subgenus uncertain	Bonne Wepster	1948
Aedes	tsiliensis	subgenus uncertain	King & Hoogstraal	1946
Aedes	tutuilae	Finlaya	Ramalingam & Belkin	1965
Aedes	versicolor	subgenus uncertain	Barraud	1924
Aedes	wallacei	Finlaya	Edwards	1926
Aedes	wasselli	subgenus uncertain	Marks	1947
Aedes	vittatus	Fredwardsius	Bigot	1861
Aedes	atropalpus	Georgecraigius	Coquillett	1902
Aedes	epactius	Georgecraigius	Dyar & Knab	1908
Aedes	fluviatilis	Georgecraigius	Lutz	1904
Aedes	baisasi	Geoskusea	Knight & Hull	1951
Aedes	becki	Geoskusea	Belkin	1962
Aedes	daggyi	Geoskusea	Stone & Bohart	1944
Aedes	fimbripes	Geoskusea	Edwards	1924
Aedes	kabaenensis	Geoskusea	Brug	1939
Aedes	longiforceps	Geoskusea	Edwards	1929
Aedes	lunulatus	Geoskusea	King & Hoogstraal	1946
Aedes	perryi	Geoskusea	Belkin	1962
Aedes	timorensis	Geoskusea	Miyagi , Toma & Lien	2004
Aedes	tonsus	Geoskusea	Edwards	1924
Aedes	alius	Gilesius	Lien	1968
Aedes	pulchriventer	Gilesius	Giles	1901
Aedes	mediovittatus	Gymnometopa	Coquillett	1906
Aedes	ashworthi	Halaedes	Edwards	1921
Aedes	australis	Halaedes	Erichson	1842
Aedes	wardangensis	Halaedes	Brust , Ballard , Driver , Hartley , Galway & Curran	1998
Aedes	gilli	Himalaius	Barraud	1924
Aedes	simlensis	Himalaius	Edwards	1922
Aedes	albocinctus	Hopkinsius	Barraud	1924
Aedes	barnardi	Hopkinsius	Edwards	1924
Aedes	embuensis	Hopkinsius	Edwards	1930
Aedes	ingrami	Hopkinsius	Edwards	1930
Aedes	nyasae	Hopkinsius	Edwards	1930
Aedes	seoulensis	Hopkinsius	Yamada	1921
Aedes	wellmanii	Hopkinsius	Theobald	1905
Aedes	albonotatus	Howardina	Coquillett	1906
Aedes	allotecnon	Howardina	Kumm , Komp & Ruiz	1940
Aedes	arborealis	Howardina	Bonne Wepster & Bonne	1920
Aedes	argyrites	Howardina	Dyar & Nuñez , Tovar	1927
Aedes	aureolineatus	Howardina	Berlin	1969
Aedes	aurites	Howardina	Theobald	1907
Aedes	aurivittatus	Howardina	Cerqueira	1943
Aedes	bahamensis	Howardina	Berlin	1969
Aedes	brevis	Howardina	Berlin	1969
Aedes	brevivittatus	Howardina	Berlin	1969
Aedes	busckii	Howardina	Coquillett	1906
Aedes	cozumelensis	Howardina	Diaz , Nájera	1966
Aedes	ecuadoriensis	Howardina	Berlin	1969
Aedes	eleanorae	Howardina	Berlin	1969
Aedes	fulvithorax	Howardina	Lutz	1904
Aedes	grabhami	Howardina	Berlin	1969
Aedes	guatemala	Howardina	Berlin	1969
Aedes	guerrero	Howardina	Berlin	1969
Aedes	inaequalis	Howardina	Grabham	1907
Aedes	ioliota	Howardina	Dyar & Knab	1913
Aedes	leei	Howardina	Berlin	1969
Aedes	lorraineae	Howardina	Berlin	1969
Aedes	marinkellei	Howardina	Berlin	1969
Aedes	martinezi	Howardina	Berlin	1969
Aedes	osornoi	Howardina	Berlin	1969
Aedes	pseudodominicii	Howardina	Komp	1936
Aedes	quadrivittatus	Howardina	Coquillett	1902
Aedes	septemstriatus	Howardina	Dyar & Knab	1907
Aedes	sexlineatus	Howardina	Theobald	1901
Aedes	spinosus	Howardina	Berlin	1969
Aedes	stenei	Howardina	Thompson	1956
Aedes	vanemdeni	Howardina	Martini	1931
Aedes	walkeri	Howardina	Theobald	1901
Aedes	whitmorei	Howardina	Dunn	1918
Aedes	medialis	Huaedes	Brug	1932
Aedes	variepictus	Huaedes	King & Hoogstraal	1946
Aedes	wauensis	Huaedes	Huang	1968
Aedes	bhutanensis	Hulecoeteomyia	Somboon & Harbach	2020
Aedes	cherrapunjiensis	Hulecoeteomyia	Natarajan , Rajavel & Jambulingam	2016
Aedes	chrysolineatus	Hulecoeteomyia	Theobald	1907
Aedes	formosensis	Hulecoeteomyia	Yamada	1921
Aedes	harveyi	Hulecoeteomyia	Barraud	1923
Aedes	japonicus	Hulecoeteomyia	Theobald	1901
Aedes	jugraensis	Hulecoeteomyia	Leicester	1908
Aedes	koreicus	Hulecoeteomyia	Edwards	1917
Aedes	nigrorhynchus	Hulecoeteomyia	Brug	1931
Aedes	pallirostris	Hulecoeteomyia	Edwards	1922
Aedes	reinerti	Hulecoeteomyia	Rattanarithikul & Harrison	1988
Aedes	rizali	Hulecoeteomyia	Banks	1906
Aedes	sherki	Hulecoeteomyia	Knight	1948
Aedes	yunnanensis	Hulecoeteomyia	Gaschen	1934
Aedes	pulverulentus	Indusius	Edwards	1922
Aedes	cavaticus	Isoaedes	Reinert	1979
Aedes	deserticola	Jarnellius	Zavortink	1970
Aedes	laguna	Jarnellius	Arnell & Nielsen	1972
Aedes	monticola	Jarnellius	Belkin & McDonald	1957
Aedes	sierrensis	Jarnellius	Ludlow	1905
Aedes	varipalpus	Jarnellius	Coquillett	1902
Aedes	chungi	Jihlienius	Lien	1968
Aedes	gonguoensis	Jihlienius	Gong & Lu	1986
Aedes	unicinctus	Jihlienius	Edwards	1922
Aedes	dissimilierodes	Kenknightia	Dong , Zhou & Dong	2002
Aedes	dissimilis	Kenknightia	Leicester	1908
Aedes	gaffigani	Kenknightia	Reinert	1990
Aedes	harbachi	Kenknightia	Reinert	1990
Aedes	karwari	Kenknightia	Barraud	1924
Aedes	lerozeboomi	Kenknightia	Reinert	1990
Aedes	leucomeres	Kenknightia	Giles	1904
Aedes	litwakae	Kenknightia	Reinert	1990
Aedes	luzonensis	Kenknightia	Rozeboom	1946
Aedes	paradissimilis	Kenknightia	Rozeboom	1946
Aedes	pecori	Kenknightia	Reinert	1990
Aedes	wilkersoni	Kenknightia	Reinert	1990
Aedes	purpureipes	Kompia	Aitken	1941
Aedes	aurimargo	Leptosomatomyia	Edwards	1922
Aedes	geoskusea	Levua	Amos	1944
Aedes	muelleri	Lewnielsenius	Dyar	1920
Aedes	amesii	Lorrainea	Ludlow	1903
Aedes	celebicus	Lorrainea	Mattingly	1959
Aedes	dasyorrhus	Lorrainea	King & Hoogstraal	1946
Aedes	fumidus	Lorrainea	Edwards	1928
Aedes	lamelliferus	Lorrainea	Bohart & Ingram	1946
Aedes	fengi	Luius	Edwards	1935
Aedes	calabyi	Macleaya	Marks	1963
Aedes	elchoensis	Macleaya	Taylor	1929
Aedes	humeralis	Macleaya	Edwards	1922
Aedes	littlechildi	Macleaya	Taylor	1933
Aedes	macmillani	Macleaya	Marks	1964
Aedes	moloiensis	Macleaya	Taylor	1929
Aedes	spinosipes	Macleaya	Edwards	1922
Aedes	stoneorum	Macleaya	Marks	1977
Aedes	tremulus	Macleaya	Theobald	1903
Aedes	tulliae	Macleaya	Taylor	1929
Aedes	wattensis	Macleaya	Taylor	1929
Aedes	auridorsum	Molpemyia	Edwards	1922
Aedes	pecuniosus	Molpemyia	Edwards	1922
Aedes	purpureus	Molpemyia	Theobald	1910
Aedes	alternans	Mucidus	Westwood	1835
Aedes	aurantius	Mucidus	Theobald	1907
Aedes	ferinus	Mucidus	Knight	1947
Aedes	grahamii	Mucidus	Theobald	1909
Aedes	laniger	Mucidus	Wiedemann	1820
Aedes	lucianus	Mucidus	Muspratt	1959
Aedes	mucidus	Mucidus	Karsch	1887
Aedes	nigerrimus	Mucidus	Theobald	1913
Aedes	nigrescens	Mucidus	Edwards	1929
Aedes	quadripunctis	Mucidus	Ludlow	1910
Aedes	quasiferinus	Mucidus	Mattingly	1961
Aedes	scatophagoides	Mucidus	Theobald	1901
Aedes	sudanensis	Mucidus	Theobald	1908
Aedes	tonkingi	Mucidus	Gebert	1948
Aedes	subargenteus	Stegomyia	Edwards	1925
Aedes	albicosta	Neomelaniconion	Edwards	1913
Aedes	albiradius	Neomelaniconion	le Goff , Boussès & Brunhes	2007
Aedes	albothorax	Neomelaniconion	Theobald	1907
Aedes	aurovenatus	Neomelaniconion	Worth	1960
Aedes	belleci	Neomelaniconion	le Goff , Boussès & Brunhes	2007
Aedes	bequaerti	Neomelaniconion	Wolfs	1947
Aedes	bergerardi	Neomelaniconion	Pajot & Geoffroy	1971
Aedes	bolensis	Neomelaniconion	Edwards	1936
Aedes	carteri	Neomelaniconion	Edwards	1936
Aedes	circumluteolus	Neomelaniconion	Theobald	1908
Aedes	crassiforceps	Neomelaniconion	Edwards	1927
Aedes	ellinorae	Neomelaniconion	Edwards	1941
Aedes	flavimargo	Neomelaniconion	Edwards	1941
Aedes	fontenillei	Neomelaniconion	le Goff , Boussès & Brunhes	2007
Aedes	fuscinervis	Neomelaniconion	Edwards	1914
Aedes	jamoti	Neomelaniconion	Hamon & Rickenbach	1954
Aedes	lineatopennis	Neomelaniconion	Ludlow	1905
Aedes	luridus	Neomelaniconion	McIntosh	1971
Aedes	luteolateralis	Neomelaniconion	Theobald	1901
Aedes	mcintoshi	Neomelaniconion	Huang	1985
Aedes	monotrichus	Neomelaniconion	Edwards	1936
Aedes	nigropterus	Neomelaniconion	le Goff , Boussès & Brunhes	2007
Aedes	palpalis	Neomelaniconion	Newstead	1907
Aedes	pogonurus	Neomelaniconion	Edwards	1936
Aedes	punctocostalis	Neomelaniconion	Theobald	1909
Aedes	sylvaticus	Neomelaniconion	le Goff , Boussès & Brunhes	2007
Aedes	taeniarostris	Neomelaniconion	Theobald	1909
Aedes	unidentatus	Neomelaniconion	McIntosh	1971
Aedes	biunguiculatus	Nyctomyia	Harbach	2014
Aedes	pholeocola	Nyctomyia	Linton & Harbach	2013
Aedes	aboriginis	Ochlerotatus	Dyar	1917
Aedes	abserratus	Ochlerotatus	Felt & Young	1904
Aedes	aculeatus	Ochlerotatus	Theobald	1903
Aedes	aenigmaticus	Ochlerotatus	Cerqueira & Costa	1946
Aedes	akkeshiensis	Ochlerotatus	Tanaka	1998
Aedes	albifasciatus	Ochlerotatus	Macquart	1838
Aedes	albineus	Ochlerotatus	Séguy	1923
Aedes	aloponotum	Ochlerotatus	Dyar	1917
Aedes	amateuri	Ochlerotatus	Ortega & Zavortink	2019
Aedes	ambreensis	Ochlerotatus	Rodhain & Boutonnier	1983
Aedes	andersoni	Ochlerotatus	Edwards	1926
Aedes	angustivittatus	Ochlerotatus	Dyar & Knab	1907
Aedes	annulipes	Ochlerotatus	Meigen	1830
Aedes	antipodeus	Ochlerotatus	Edwards	1920
Aedes	atactavittatus	Ochlerotatus	Arnell	1976
Aedes	atlanticus	Ochlerotatus	Dyar & Knab	1906
Aedes	auratus	Ochlerotatus	Grabham	1906
Aedes	aurifer	Ochlerotatus	Coquillett	1903
Aedes	bancroftianus	Ochlerotatus	Edwards	1921
Aedes	behningi	Ochlerotatus	Martini	1926
Aedes	bejaranoi	Ochlerotatus	Martinez , Carcavallo & Prosen	1960
Aedes	berlandi	Ochlerotatus	Séguy	1921
Aedes	bimaculatus	Ochlerotatus	Coquillett	1902
Aedes	biskraensis	Ochlerotatus	Brunhes	1999
Aedes	bogotanus	Ochlerotatus	Arnell	1976
Aedes	breedensis	Ochlerotatus	Muspratt	1953
Aedes	burjaticus	Ochlerotatus	Kuchartshuk	1973
Aedes	burpengaryensis	Ochlerotatus	Theobald	1905
Aedes	caballus	Ochlerotatus	Theobald	1912
Aedes	cacozelus	Ochlerotatus	Marks	1963
Aedes	calcariae	Ochlerotatus	Marks	1957
Aedes	calumnior	Ochlerotatus	Belkin , Heinemann & Page	1970
Aedes	campestris	Ochlerotatus	Dyar & Knab	1907
Aedes	camptorhynchus	Ochlerotatus	Thomson	1869
Aedes	canadensis	Ochlerotatus	Theobald	1901
