Genus	Specie	Subgenus	Author	Year
Anopheles	borneensis	Anopheles	McArthur	1949
Anopheles	bradleyi	Anopheles	King	1939
Anopheles	braziliensis	Nyssorhynchus	Chagas	1907
Anopheles	brevipalpis	Anopheles	Roper	1914
Anopheles	brevirostris	Anopheles	Reid	1950
Anopheles	brohieri	Cellia	Edwards	1929
Anopheles	brucei	Cellia	Service	1960
Anopheles	brumpti	Cellia	Hamon & Rickenbach	1955
Anopheles	brunnipes	Cellia	Theobald	1910
Anopheles	bulkleyi	Anopheles	Causey	1937
Anopheles	bustamantei	Anopheles	Galvão	1955
Anopheles	buxtoni	Cellia	Service	1958
Anopheles	bwambae	Cellia	White	1985
Anopheles	calderoni	Anopheles	Wilkerson	1991
Anopheles	caliginosus	Anopheles	de Meillon	1943
Anopheles	cameronensis	Anopheles	Edwards	1929
Anopheles	cameroni	Cellia	de Meillon & Evans	1935
Anopheles	campestris	Anopheles	Reid	1962
Anopheles	canorii	Stethomyia	Floch & Abonnenc	1945
Anopheles	carnevalei	Cellia	Brunhes, le Goff & Geoffroy	1999
Anopheles	caroni	Cellia	Adam	1961
Anopheles	carteri	Cellia	Evans & de Meillon	1933
Anopheles	chiriquiensis	Anopheles	Komp	1936
Anopheles	chodukini	Anopheles	Martini	1929
Anopheles	christyi	Cellia	Newstead & Carter	1911
Anopheles	cinctus	Cellia	Newstead & Carter	1910
Anopheles	cinereus	Cellia	Theobald	1901
Anopheles	claviger	Anopheles	Meigen	1804
Anopheles	clowi	Cellia	Rozeboom & Knight	1946
Anopheles	colledgei	Anopheles	Marks	1956
Anopheles	collessi	Anopheles	Reid	1963
Anopheles	coluzzii	Cellia	Coetzee & Wilkerson	2013
Anopheles	comorensis	Cellia	Brunhes, le Goff & Geoffroy	1997
Anopheles	concolor	Anopheles	Edwards	1938
Anopheles	confusus	Cellia	Evans & Leeson	1935
Anopheles	corethroides	Anopheles	Theobald	1907
Anopheles	costai	Anopheles	da Fonseca & da Silva, Ramos	1940
Anopheles	coustani	Anopheles	Laveran	1900
Anopheles	cracens	Cellia	Sallum & Peyton	2005
Anopheles	crawfordi	Anopheles	Reid	1953
Anopheles	cristatus	Cellia	King & Baisas	1936
Anopheles	cristipalpis	Cellia	Service	1977
Anopheles	crucians	Anopheles	Wiedemann	1828
Anopheles	cruzii	Kerteszia	Dyar & Knab	1908
Anopheles	crypticus	Anopheles	Coetzee	1995
Anopheles	cucphuongensis	Anopheles	Vu, Nguyen, Tran & Nguyen	1991
Anopheles	culicifacies	Cellia	Giles	1901
Anopheles	culiciformis	Anopheles	Cogill	1903
Anopheles	cydippis	Cellia	de Meillon	1931
Anopheles	daciae	Anopheles	Linton, Nicolescu & Harbach	2004
Anopheles	dancalicus	Cellia	Corradetti	1939
Anopheles	darlingi	Nyssorhynchus	Root	1926
Anopheles	daudi	Cellia	Coluzzi	1958
Anopheles	deaneorum	Nyssorhynchus	Rosa-Freitas	1989
Anopheles	deemingi	Cellia	Service	1970
Anopheles	demeilloni	Cellia	Evans	1933
Anopheles	diluvialis	Anopheles	Reinert	1997
Anopheles	dirus	Cellia	Peyton & Harrison	1979
Anopheles	dispar	Cellia	Rattanarithikul & Harbach	1991
Anopheles	dissidens	Anopheles	Taai & Harbach	2015
Anopheles	distinctus	Cellia	Newstead & Carter	1911
Anopheles	domicolus	Cellia	Edwards	1916
Anopheles	donaldi	Anopheles	Reid	1962
Anopheles	dravidicus	Cellia	Christophers	1924
Anopheles	dthali	Cellia	Patton	1905
Anopheles	dualaensis	Cellia	Brunhes, le Goff & Geoffroy	1999
Anopheles	dunhami	Nyssorhynchus	Causey	1945
Anopheles	dureni	Cellia	Edwards	1938
Anopheles	earlei	Anopheles	Vargas	1943
Anopheles	eiseni	Anopheles	Coquillett	1902
Anopheles	ejercitoi	Anopheles	Mendoza	1947
Anopheles	elegans	Cellia	James	1903
Anopheles	engarensis	Anopheles	Kanda & Oguma	1978
Anopheles	eouzani	Cellia	Brunhes, le Goff & Boussès	2003
Anopheles	epiroticus	Cellia	Linton & Harbach	2005
Anopheles	erepens	Cellia	Gillies	1958
Anopheles	erythraeus	Cellia	Corradetti	1939
Anopheles	ethiopicus	Cellia	Gillies & Coetzee	1987
Anopheles	evandroi	Anopheles	da Costa, Lima	1937
Anopheles	evansae	Nyssorhynchus	Brèthes	1926
Anopheles	faini	Cellia	Leleup	1952
Anopheles	farauti	Cellia	Laveran	1902
Anopheles	fausti	Anopheles	Vargas	1943
Anopheles	filipinae	Cellia	Manalang	1930
Anopheles	flavicosta	Cellia	Edwards	1911
Anopheles	flavirostris	Cellia	Ludlow	1914
Anopheles	fluminensis	Anopheles	Root	1927
Anopheles	fluviatilis	Cellia	James	1902
Anopheles	fontenillei	Cellia	Barrón, Paupy, Rahola, Akone-Ella, Ngangue, Wilson-Bahun, Pombi, Kengne, Costantini, Simard, González & Ayala	2019
Anopheles	fontinalis	Cellia	Gillies & de Meillon	1968
Anopheles	forattinii	Anopheles	Wilkerson & Sallum	1999
Anopheles	fragilis	Anopheles	Theobald	1903
Anopheles	franciscanus	Anopheles	McCracken	1904
Anopheles	franciscoi	Anopheles	Reid	1962
Anopheles	freeborni	Anopheles	Aitken	1939
Anopheles	freetownensis	Cellia	Evans	1925
Anopheles	freyi	Anopheles	Meng	1957
Anopheles	funestus	Cellia	Giles	1900
Anopheles	fuscicolor	Anopheles	van Someren	1947
Anopheles	fuscivenosus	Cellia	Leeson	1930
Anopheles	gabaldoni	Anopheles	Vargas	1941
Anopheles	gabonensis	Cellia	Rahola, Makanga & Paupy	2014
Anopheles	galvaoi	Nyssorhynchus	Causey, Deane & Deane	1943
Anopheles	gambiae	Cellia	Giles	1902
