Genus	Specie	Subgenus	Author	Year
Aedes	condolescens	Ochlerotatus	Dyar & Knab	1907
Aedes	contiguus	Stegomyia	Edwards	1936
Aedes	continentalis	Ochlerotatus	Dobrotworsky	1960
Aedes	cooki	Stegomyia	Belkin	1962
Aedes	cordellieri	Diceromyia	Huang	1986
Aedes	corneti	Stegomyia	Huang	1986
Aedes	coulangesi	Paulianius	Rodhain & Boutonnier	1983
Aedes	cozi	Cornetius	Cornet	1973
Aedes	cozumelensis	Howardina	Diaz , Nájera	1966
Aedes	craggi	Stegomyia	Barraud	1923
Aedes	crassiforceps	Neomelaniconion	Edwards	1927
Aedes	cretinus	Stegomyia	Edwards	1921
Aedes	crinifer	Ochlerotatus	Theobald	1903
Aedes	croceus	Finlaya	Knight & Laffoon	1946
Aedes	crossi	subgenus uncertain	Lien	1967
Aedes	culiciformis	Pseudoskusea	Theobald	1905
Aedes	culicinus	Aedimorphus	Edwards	1922
Aedes	cumminsii	Aedimorphus	Theobald	1903
Aedes	cunabulanus	Ochlerotatus	Edwards	1924
Aedes	curtipes	Cancraedes	Edwards	1915
Aedes	cyprioides	Ochlerotatus	Danilov & Stupin	1982
Aedes	cyprius	Ochlerotatus	Ludlow	1920
Aedes	daggyi	Geoskusea	Stone & Bohart	1944
Aedes	dahlae	Ochlerotatus	Nielsen	2009
Aedes	dahuricus	Aedes	Danilov	1987
Aedes	daitensis	Stegomyia	Miyagi & Toma	1981
Aedes	daliensis	Ochlerotatus	Taylor	1916
Aedes	dalzieli	Aedimorphus	Theobald	1910
Aedes	daryi	Protomacleaya	Schick	1970
Aedes	dasyorrhus	Lorrainea	King & Hoogstraal	1946
Aedes	davidi	Aedimorphus	Basio	1971
Aedes	deboeri	Stegomyia	Edwards	1926
Aedes	deccanus	Phagomyia	Barraud	1923
Aedes	decticus	Ochlerotatus	Howard , Dyar & Knab	1917
Aedes	deficiens	Ochlerotatus	Arnell	1976
Aedes	demeilloni	Stegomyia	Edwards	1936
Aedes	denderensis	Stegomyia	Wolfs	1949
Aedes	dendrophilus	Stegomyia	Edwards	1921
Aedes	dentatus	Aedimorphus	Theobald	1904
Aedes	derooki	Patmarksia	Brug	1932
Aedes	deserticola	Jarnellius	Zavortink	1970
